Year;Company code;Function;TRIR;LTIR
2014;L         ;Construction;1,73;0,69
2014;L         ;Drilling;2,91;1,04
2014;L         ;Exploration;0;0
2014;L         ;Production;6,12;0,99
2014;L         ;Unspecified;2,61;0,26
2014;LL        ;Construction;0,93;0,13
2014;LL        ;Drilling;1,14;0,32
2014;LL        ;Exploration;0;0
2014;LL        ;Production;0,53;0,16
2014;LL        ;Unspecified;0,62;0,24
2014;M         ;Construction;2,31;1,38
2014;M         ;Drilling;1,46;0,49
2014;M         ;Production;0,45;0
2014;M         ;Unspecified;0,44;0,44
2014;MM        ;Unspecified;1,44;0,18
2014;N         ;Drilling;4,4;0,88
2014;N         ;Unspecified;2,75;0
2014;NN        ;Construction;0,76;0,07
2014;NN        ;Drilling;3,47;0,45
2014;NN        ;Exploration;1,73;0
2014;NN        ;Production;2,2;0,24
2014;NN        ;Unspecified;0,49;0,06
2014;O         ;Construction;5,68;0,49
2014;O         ;Drilling;4,88;1
2014;O         ;Exploration;1;0
2014;O         ;Production;3,45;0,66
2014;O         ;Unspecified;1,2;0,24
2014;OO        ;Production;0,9;0,18
2014;OO        ;Unspecified;0;0
2014;OVERALL   ;Construction;1,08;0,16
2014;OVERALL   ;Drilling;2,78;0,78
2014;OVERALL   ;Exploration;1,48;0,3
2014;OVERALL   ;OVERALL;1,54;0,36
2014;OVERALL   ;Production;1,75;0,4
2014;OVERALL   ;Unspecified;0,85;0,17
2014;P         ;Construction;3,95;0
2014;P         ;Drilling;3,75;0,23
2014;P         ;Exploration;1,28;0,64
2014;P         ;Production;3,81;1,4
2014;P         ;Unspecified;0,83;0,36
2014;PP        ;Construction;1,4;0,14
2014;PP        ;Drilling;0,63;0,31
2014;PP        ;Exploration;0;0
2014;PP        ;Production;1,41;0
2014;PP        ;Unspecified;1,45;0,13
2014;Q         ;Drilling;2,17;0,79
2014;Q         ;Exploration;2,49;0,96
2014;Q         ;Production;2,09;0,31
2014;Q         ;Unspecified;0,24;0,24
2014;QQ        ;Construction;1,27;0,08
2014;QQ        ;Drilling;1,73;0,29
2014;QQ        ;Exploration;0,19;0
2014;QQ        ;Production;0,75;0,13
2014;QQ        ;Unspecified;0,72;0,06
2014;R         ;Construction;4,45;0,74
2014;R         ;Drilling;2,82;0,9
2014;R         ;Exploration;1,41;0,56
2014;R         ;Production;0,83;0
2014;R         ;Unspecified;0,48;0,32
2014;RR        ;Construction;1,44;0
2014;RR        ;Drilling;3,27;0
2014;RR        ;Exploration;4,35;0
2014;RR        ;Production;2,19;0,25
2014;RR        ;Unspecified;0;0
2014;S         ;Construction;0,6;0,36
2014;S         ;Drilling;2,22;0,91
2014;S         ;Exploration;1,34;0,45
2014;S         ;Production;1,06;0,43
2014;S         ;Unspecified;1,4;0,55
2014;SS        ;Construction;1;0
2014;SS        ;Drilling;2,05;0,07
2014;SS        ;Production;1,39;0,2
2014;SS        ;Unspecified;0,96;0
2014;T         ;Construction;0;0
2014;T         ;Drilling;4,93;0,55
2014;T         ;Exploration;0;0
2014;T         ;Production;8,66;0,87
2014;T         ;Unspecified;2,69;0,38
2014;TT        ;Construction;0,07;0
2014;TT        ;Drilling;1,86;0,16
2014;TT        ;Exploration;0;0
2014;TT        ;Production;0,81;0,13
2014;TT        ;Unspecified;0,09;0
2014;U         ;Construction;0,86;0,43
2014;U         ;Drilling;4,05;0,81
2014;U         ;Exploration;3,16;0,63
2014;U         ;Production;0,7;0,46
2014;U         ;Unspecified;1,54;0
2014;UU        ;Construction;1;0,06
2014;UU        ;Drilling;0;0
2014;UU        ;Production;0,5;0
2014;V         ;Construction;1,91;0,36
2014;V         ;Drilling;2,34;0,75
2014;V         ;Exploration;4,41;0
2014;V         ;Production;1,18;0,49
2014;V         ;Unspecified;0,29;0,1
2014;VV        ;Construction;0;0
2014;VV        ;Drilling;2,17;0
2014;VV        ;Production;3,23;0
2014;VV        ;Unspecified;0;0
2014;W         ;Construction;;0,19
2014;W         ;Drilling;;0,92
2014;W         ;Exploration;;0
2014;W         ;Production;;0,21
2014;W         ;Unspecified;;0,09
2014;WW        ;Construction;0,19;0
2014;WW        ;Production;0,2;0
2014;X         ;Construction;0;0
2014;X         ;Drilling;1,97;0,28
2014;X         ;Exploration;2,76;0,39
2014;X         ;Production;3,46;0,66
2014;X         ;Unspecified;0,69;0,14
